Target_Crop,Soil_Type,Batch_NPK_Profile,Rec_Dose_g_per_pot,Apply_Freq_Days,Compatibility_Score
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),22.8,14,96.4
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.3,14,93.3
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.7,10,89.9
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.1,14,79.8
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.3,7,98.6
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.4,14,93.7
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.5,7,69.3
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),47.5,14,78.7
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.1,7,77.8
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),21.6,7,89.5
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.9,14,89.0
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),28.0,10,72.1
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,67.2
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.0,7,95.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.4,14,71.1
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.5,7,78.4
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),42.7,7,69.0
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.5,14,95.9
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.8,14,67.2
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),30.1,7,72.3
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.3,10,96.3
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),23.1,10,66.8
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.8,7,80.9
Sili (Chili Pepper),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),22.0,10,73.7
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),30.3,7,71.7
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),27.1,7,97.3
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.3,14,73.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.7,14,79.4
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.2,14,91.7
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),26.3,10,73.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.3,7,78.5
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.4,10,73.3
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.5,10,69.1
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.0,7,81.1
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.6,7,93.1
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.7,7,70.2
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.6,7,74.2
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.4,14,74.4
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),23.4,14,98.6
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.3,14,71.4
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.1,7,93.0
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.5,14,96.4
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),20.5,14,88.2
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.2,7,92.6
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.9,14,74.6
Sili (Chili Pepper),Clay Loam,High Nitrogen & Fiber (N-Rich),18.4,10,68.5
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),17.3,7,97.6
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.2,7,71.0
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),17.9,7,98.0
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.0,14,67.2
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),15.9,7,88.9
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.8,14,90.2
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.6,7,94.0
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.8,7,91.0
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.5,10,81.8
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.7,14,90.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.1,14,66.9
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.3,14,88.0
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),32.4,14,91.3
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.3,7,89.7
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.1,14,96.3
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.5,10,93.9
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.3,14,98.3
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.6,7,75.8
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),19.8,10,71.1
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.0,7,66.8
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.6,14,89.8
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),45.6,7,93.6
Kangkong,Clay Loam,High Nitrogen & Fiber (N-Rich),16.8,7,98.4
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.5,7,94.4
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.0,14,66.1
Sili (Chili Pepper),Sandy Loam,High Nitrogen & Fiber (N-Rich),27.0,10,68.2
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.6,14,97.2
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),42.9,7,67.6
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.3,14,71.3
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),25.4,10,90.8
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.0,14,98.9
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.3,10,66.0
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),18.8,10,79.2
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),33.3,14,93.6
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.9,10,67.9
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.7,14,90.2
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.4,10,68.6
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.5,14,67.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.7,14,91.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.4,14,67.3
Kangkong,Sandy Loam,Organic Soil Conditioner (High Carbon),43.1,7,75.9
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.9,7,78.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.0,10,67.6
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.4,7,69.1
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),19.1,10,66.2
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.6,14,95.7
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),31.1,14,95.2
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.4,14,89.0
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),48.7,14,65.9
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),21.0,14,93.5
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.2,14,71.0
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,96.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.3,14,71.2
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.1,7,92.1
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.4,7,95.8
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.4,7,90.1
Pechay,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.5,7,75.7
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),41.1,14,67.1
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),42.3,7,80.5
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,94.1
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),17.8,10,79.3
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.5,7,76.0
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),34.3,14,80.2
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.1,14,98.1
Pechay,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),19.3,7,96.1
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),21.1,10,77.9
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.0,7,78.6
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.9,14,77.2
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),24.3,7,89.9
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.0,14,70.7
Talong (Eggplant),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),39.8,14,74.3
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),44.5,7,75.5
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.6,14,90.4
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.9,7,67.0
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),35.2,7,98.7
Kangkong,Sandy Loam,High Nitrogen & Fiber (N-Rich),25.3,7,97.3
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),34.0,14,66.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),38.9,14,70.2
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.8,7,80.8
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),33.0,14,88.7
Pechay,Sandy Loam,High Nitrogen & Fiber (N-Rich),26.0,7,95.2
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),28.3,10,90.8
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.7,7,90.1
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),45.0,7,79.1
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.3,14,95.8
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.6,7,90.3
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),43.9,7,92.8
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),28.8,7,98.6
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.9,14,71.6
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),28.1,10,81.2
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,80.0
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.9,7,71.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,91.4
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,78.3
Sili (Chili Pepper),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),25.2,10,78.2
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),29.6,14,92.2
Kangkong,Clay Loam,Organic Soil Conditioner (High Carbon),29.0,7,71.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.6,14,73.9
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),32.2,14,93.8
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.5,14,95.4
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.2,7,98.3
Sili (Chili Pepper),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),20.2,10,77.3
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,88.3
Kangkong,Clay Loam,Balanced Organic (High C / Moderate K),32.2,7,94.8
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.8,14,92.0
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.0,7,88.9
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),41.8,7,65.9
Kamatis (Tomato),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.3,14,88.4
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.7,14,93.6
Sili (Chili Pepper),Sandy Loam,Balanced Organic (High C / Moderate K),26.9,10,90.7
Talong (Eggplant),Clay Loam,Organic Soil Conditioner (High Carbon),34.4,14,68.2
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.2,14,72.8
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),49.3,14,76.0
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),24.8,14,95.2
Kamatis (Tomato),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.2,14,88.8
Talong (Eggplant),Sandy Loam,Organic Soil Conditioner (High Carbon),50.0,14,69.7
Kangkong,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),44.0,7,77.1
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.6,14,65.1
Talong (Eggplant),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),25.0,14,94.3
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),34.0,14,80.7
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.4,14,72.8
Pechay,Sandy Loam,Organic Soil Conditioner (High Carbon),43.4,7,81.1
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.9,7,72.9
Kangkong,Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),18.0,7,90.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),33.7,7,74.9
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.0,14,91.9
Kamatis (Tomato),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.0,14,97.1
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.2,7,95.3
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.8,7,98.0
Kangkong,Clay Loam,High Phosphorus & Nitrogen (P-N Rich),29.9,7,68.6
Kangkong,Sandy Loam,Balanced Organic (High C / Moderate K),44.5,7,93.8
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),39.8,14,65.5
Kamatis (Tomato),Clay Loam,Organic Soil Conditioner (High Carbon),32.7,14,75.7
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.3,7,74.5
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.5,7,94.2
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),32.5,14,89.0
Kamatis (Tomato),Sandy Loam,Balanced Organic (High C / Moderate K),30.8,14,95.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),35.0,7,81.8
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),33.6,7,70.6
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),30.1,7,92.8
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.7,14,80.0
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.7,10,90.2
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),28.1,10,70.3
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),32.0,14,93.6
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.4,7,71.7
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.2,7,90.2
Talong (Eggplant),Clay Loam,High Nitrogen & Fiber (N-Rich),33.0,14,80.6
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.5,14,96.4
Talong (Eggplant),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.0,14,72.9
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.7,14,66.0
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),28.4,7,89.7
Kamatis (Tomato),Clay Loam,High Nitrogen & Fiber (N-Rich),33.4,14,81.1
Talong (Eggplant),Clay Loam,High Phosphorus & Nitrogen (P-N Rich),22.0,14,94.5
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),45.0,7,95.9
Kamatis (Tomato),Clay Loam,Balanced Organic (High C / Moderate K),21.3,14,94.2
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),48.6,14,74.4
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.2,14,65.4
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.8,7,96.0
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,93.9
Pechay,Clay Loam,High Nitrogen & Fiber (N-Rich),16.4,7,98.7
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.0,10,74.4
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.5,7,79.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.8,7,68.3
Kangkong,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.6,7,75.5
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),31.2,14,91.8
Sili (Chili Pepper),Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),22.3,10,69.5
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),43.9,7,90.9
Kamatis (Tomato),Sandy Loam,Organic Soil Conditioner (High Carbon),50.0,14,78.8
Pechay,Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),43.2,7,66.2
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.6,14,80.9
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),30.7,7,79.0
Sili (Chili Pepper),Clay Loam,Balanced Organic (High C / Moderate K),18.7,10,95.1
Kamatis (Tomato),Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),40.6,14,67.0
Talong (Eggplant),Clay Loam,Balanced Organic (High C / Moderate K),21.4,14,93.8
Pechay,Clay Loam,Organic Soil Conditioner (High Carbon),29.0,7,73.2
Pechay,Sandy Loam,Balanced Organic (High C / Moderate K),44.3,7,94.8
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.2,14,92.2
Talong (Eggplant),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.6,14,72.2
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),26.2,14,91.3
Sili (Chili Pepper),Clay Loam,Organic Soil Conditioner (High Carbon),18.4,10,72.0
Talong (Eggplant),Sandy Loam,Balanced Organic (High C / Moderate K),30.5,14,88.3
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),24.5,14,90.4
Talong (Eggplant),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),25.5,14,88.9
Kangkong,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),35.5,7,73.1
Sili (Chili Pepper),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),22.5,10,80.6
Pechay,Volcanic / Silt Loam,High Phosphorus & Nitrogen (P-N Rich),34.7,7,79.5
Kamatis (Tomato),Volcanic / Silt Loam,High Nitrogen & Fiber (N-Rich),40.1,14,78.3
Pechay,Clay Loam,Balanced Organic (High C / Moderate K),29.8,7,97.3
Sili (Chili Pepper),Sandy Loam,Organic Soil Conditioner (High Carbon),28.6,10,69.0
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),49.6,14,79.4
Sili (Chili Pepper),Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),21.6,10,90.3
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),30.9,14,96.7
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),32.1,14,97.3
Talong (Eggplant),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.9,14,94.1
Pechay,Volcanic / Silt Loam,Balanced Organic (High C / Moderate K),34.1,7,97.8
Pechay,Volcanic / Silt Loam,Organic Soil Conditioner (High Carbon),34.0,7,72.8
Kamatis (Tomato),Sandy Loam,High Nitrogen & Fiber (N-Rich),50.3,14,78.7
Kamatis (Tomato),Sandy Loam,High Phosphorus & Nitrogen (P-N Rich),31.2,14,98.6
