Chamber_Temp_C,Moisture_Percent,Motor_Load_A,Target_Heater_PWM,Target_Fan_PWM
64.42,71.48,2.56,16.38,64.4
64.41,71.44,2.7,16.39,63.97
64.43,71.4,2.58,17.19,63.93
64.44,71.35,2.59,16.69,63.92
64.45,71.31,2.65,16.94,64.82
64.46,71.27,2.63,17.01,63.83
64.47,71.23,2.65,16.66,63.68
64.53,71.19,2.59,17.33,64.51
64.58,71.14,2.58,16.84,64.35
64.5,71.1,2.6,15.84,64.11
64.49,71.06,2.72,16.11,64.14
64.49,71.02,2.64,17.01,63.67
64.47,70.98,2.6,15.88,64.83
64.43,70.93,2.68,15.72,64.5
64.41,70.89,2.62,15.91,63.31
64.38,70.85,2.61,16.56,63.79
64.41,70.81,2.56,16.91,63.6
64.39,70.77,2.58,16.0,64.05
64.46,70.73,2.62,17.6,63.36
64.49,70.68,2.66,17.65,64.4
64.48,70.64,2.65,16.85,64.3
64.48,70.6,2.51,17.09,62.65
64.5,70.56,2.61,16.42,63.86
64.5,70.52,2.61,17.3,62.86
64.47,70.48,2.61,16.68,63.49
64.45,70.43,2.56,15.94,63.66
64.45,70.39,2.66,16.39,62.68
64.42,70.35,2.57,16.16,63.42
64.42,70.31,2.55,16.68,62.51
64.46,70.27,2.62,17.71,63.01
64.48,70.23,2.64,16.56,62.99
64.47,70.19,2.49,16.3,62.84
64.47,70.14,2.59,15.84,63.72
64.55,70.1,2.66,16.88,63.17
64.51,70.06,2.61,16.29,62.81
64.49,70.02,2.55,16.09,62.39
64.52,69.98,2.67,17.38,63.4
64.55,69.94,2.63,16.47,62.63
64.51,69.89,2.53,15.82,63.06
64.5,69.85,2.63,16.93,63.9
64.48,69.81,2.55,16.18,62.61
64.49,69.77,2.59,16.59,62.32
64.48,69.73,2.63,16.4,62.3
64.51,69.69,2.63,16.8,62.19
64.46,69.65,2.62,15.65,63.0
64.43,69.6,2.59,16.23,61.61
64.47,69.56,2.51,16.84,61.89
64.47,69.52,2.59,16.57,61.85
64.48,69.48,2.56,16.17,62.22
64.52,69.44,2.66,16.97,61.87
64.49,69.4,2.58,15.2,62.15
64.51,69.36,2.58,16.72,62.08
64.54,69.32,2.57,17.06,62.55
64.54,69.27,2.56,16.13,62.31
64.56,69.23,2.57,16.51,63.52
64.55,69.19,2.53,16.91,62.32
64.51,69.15,2.67,15.43,62.24
64.54,69.11,2.47,16.63,62.13
64.52,69.07,2.64,16.49,62.71
64.55,69.03,2.69,16.62,61.98
64.54,68.98,2.54,16.46,62.38
64.57,68.94,2.55,16.79,61.77
64.6,68.9,2.55,16.54,62.43
64.58,68.86,2.6,16.08,61.85
64.62,68.82,2.64,16.64,61.78
64.6,68.78,2.51,16.36,63.28
64.57,68.74,2.57,15.32,62.97
64.63,68.69,2.58,16.44,61.5
64.63,68.65,2.58,16.18,62.63
64.64,68.61,2.64,15.72,62.47
64.65,68.57,2.57,16.87,62.0
64.6,68.53,2.65,16.08,62.78
64.58,68.49,2.49,16.11,61.8
64.57,68.45,2.5,16.68,61.91
64.56,68.4,2.49,16.12,62.64
64.51,68.36,2.56,16.2,61.58
64.55,68.32,2.62,16.37,61.82
64.61,68.28,2.57,16.21,61.05
64.61,68.24,2.56,16.18,61.79
64.6,68.2,2.54,15.88,61.5
64.58,68.16,2.64,15.84,61.74
64.55,68.12,2.46,14.93,62.12
64.53,68.07,2.52,16.17,61.24
64.53,68.03,2.62,15.86,62.16
64.55,67.99,2.58,16.76,60.7
64.53,67.95,2.54,15.73,61.66
64.55,67.91,2.62,16.76,61.4
64.55,67.87,2.54,15.81,61.53
64.59,67.83,2.55,16.51,60.55
64.57,67.79,2.49,15.97,61.82
64.52,67.75,2.64,15.52,61.47
64.49,67.7,2.55,15.4,61.78
64.5,67.66,2.61,16.25,60.99
64.52,67.62,2.55,16.55,60.86
64.52,67.58,2.59,16.6,59.95
64.54,67.54,2.57,16.53,60.69
64.55,67.5,2.5,16.1,60.44
64.6,67.46,2.57,16.55,59.98
64.64,67.42,2.6,16.33,61.48
64.6,67.38,2.55,15.15,60.48
64.62,67.34,2.51,16.46,60.54
64.6,67.29,2.48,15.83,60.26
64.57,67.25,2.68,15.71,61.36
64.57,67.21,2.58,16.54,60.75
64.63,67.17,2.54,15.99,60.7
64.66,67.13,2.63,16.7,60.46
64.65,67.09,2.51,15.72,61.8
64.68,67.05,2.46,16.36,61.33
64.66,67.01,2.57,15.61,60.78
64.68,66.97,2.57,16.11,60.13
64.7,66.92,2.56,16.25,61.36
64.71,66.88,2.55,15.86,60.05
64.69,66.84,2.59,16.01,60.24
64.69,66.8,2.54,15.91,61.11
64.71,66.76,2.51,16.41,60.45
64.7,66.72,2.51,15.66,60.6
64.72,66.68,2.51,16.52,60.24
64.77,66.64,2.46,16.56,60.83
64.76,66.6,2.59,15.84,61.31
64.78,66.55,2.51,15.47,61.51
64.78,66.51,2.5,15.44,61.57
64.74,66.47,2.48,15.44,60.69
64.71,66.43,2.54,15.29,60.21
64.76,66.39,2.52,16.64,59.96
64.73,66.35,2.55,15.68,60.96
64.73,66.31,2.65,15.9,60.69
64.71,66.27,2.5,15.48,60.16
64.72,66.23,2.5,15.57,60.87
64.69,66.19,2.56,15.43,60.52
64.73,66.14,2.61,16.04,59.37
64.72,66.1,2.54,15.5,60.07
64.73,66.06,2.48,16.16,61.19
64.7,66.02,2.61,15.13,59.8
64.69,65.98,2.58,15.65,60.13
64.74,65.94,2.57,17.19,59.68
64.76,65.9,2.5,16.13,61.02
64.78,65.86,2.54,16.03,60.68
64.81,65.82,2.55,16.21,60.75
64.82,65.78,2.47,15.47,60.36
64.82,65.73,2.58,15.72,60.08
64.78,65.69,2.55,15.64,60.24
64.77,65.65,2.52,15.98,61.12
64.77,65.61,2.53,15.8,60.76
64.77,65.57,2.52,16.0,60.0
64.79,65.53,2.48,16.24,59.34
64.8,65.49,2.53,16.23,59.15
64.81,65.45,2.6,16.38,59.88
64.79,65.41,2.48,14.84,58.83
64.77,65.37,2.48,15.12,60.15
64.75,65.33,2.5,15.06,60.1
64.76,65.28,2.47,16.68,59.02
64.75,65.24,2.52,15.7,59.68
64.72,65.2,2.56,15.11,60.22
64.75,65.16,2.53,16.0,59.56
64.76,65.12,2.54,16.08,60.05
64.74,65.08,2.59,15.67,60.13
64.75,65.04,2.47,15.75,58.58
64.77,65.0,2.41,16.16,58.97
64.73,64.96,2.54,15.48,58.1
64.73,64.92,2.5,16.19,59.35
64.77,64.88,2.54,15.8,58.53
64.77,64.84,2.39,15.57,59.24
64.75,64.8,2.48,15.55,58.85
64.78,64.76,2.52,16.64,59.39
64.81,64.71,2.46,16.36,59.6
64.83,64.67,2.53,15.93,59.4
64.88,64.63,2.5,16.02,59.01
64.94,64.59,2.5,16.41,59.06
64.9,64.55,2.51,14.85,59.39
64.9,64.51,2.6,15.56,59.14
64.92,64.47,2.5,16.17,59.59
64.91,64.43,2.41,15.56,58.9
64.89,64.39,2.57,15.48,59.66
64.86,64.35,2.54,14.72,58.49
64.91,64.31,2.48,16.26,58.84
64.9,64.27,2.41,15.19,59.67
64.9,64.23,2.5,16.04,59.84
64.88,64.18,2.45,15.55,59.24
64.88,64.14,2.46,15.34,59.6
64.92,64.1,2.4,15.75,57.53
64.87,64.06,2.54,15.07,58.51
64.85,64.02,2.5,15.15,59.02
64.87,63.98,2.45,15.48,58.09
64.87,63.94,2.52,14.6,58.56
64.85,63.9,2.58,15.23,58.53
64.87,63.86,2.49,15.65,58.81
64.86,63.82,2.47,15.26,58.56
64.88,63.78,2.47,15.79,58.59
64.9,63.74,2.49,15.39,57.63
64.96,63.7,2.47,15.79,57.21
64.98,63.66,2.42,15.67,58.34
64.94,63.62,2.48,14.74,59.86
64.94,63.58,2.49,15.62,58.93
64.98,63.54,2.52,16.38,58.64
64.99,63.49,2.41,15.61,59.37
65.01,63.45,2.43,15.84,58.21
65.59,63.41,2.49,29.9,58.99
66.03,63.37,2.52,27.27,61.33
66.37,63.33,2.5,24.4,62.22
66.56,63.29,2.47,21.64,64.83
66.69,63.24,2.39,20.54,64.88
66.82,63.2,2.36,20.66,64.92
66.93,63.16,2.51,18.74,65.17
66.98,63.11,2.45,18.07,67.35
66.94,63.07,2.38,16.84,67.54
67.03,63.03,2.49,18.87,67.39
67.08,62.98,2.47,18.1,66.93
67.09,62.94,2.44,17.54,66.64
67.05,62.9,2.4,16.64,66.59
67.09,62.85,2.38,17.81,67.13
67.06,62.81,2.44,16.97,67.04
67.1,62.77,2.39,17.91,65.92
67.06,62.72,2.48,17.11,66.68
67.09,62.68,2.52,17.6,66.62
28.19,92.68,3.34,17.53,66.18
31.67,92.65,3.04,100.0,94.72
35.11,92.61,3.02,99.86,95.67
38.54,92.57,3.01,100.0,94.94
41.96,92.53,2.99,100.0,94.75
45.3,92.49,3.07,100.0,94.69
48.59,92.45,3.06,100.0,95.79
51.89,92.4,3.05,100.0,94.05
53.44,92.36,2.95,54.53,73.89
54.83,92.32,3.02,50.17,74.79
55.96,92.28,3.01,44.71,74.49
56.98,92.24,3.05,41.83,74.07
57.9,92.2,3.05,38.76,74.48
58.67,92.15,2.98,36.54,75.15
59.37,92.11,3.13,34.33,75.02
59.97,92.07,3.07,31.92,73.67
60.51,92.03,3.03,29.64,74.01
61.0,91.98,2.97,29.12,73.32
61.4,91.94,3.1,27.05,74.27
61.72,91.9,3.06,25.43,73.96
62.02,91.85,2.99,25.08,74.09
62.28,91.81,3.07,23.59,73.72
62.54,91.77,2.98,22.74,74.03
62.76,91.72,3.03,22.79,75.86
62.9,91.68,3.09,21.54,76.89
63.04,91.63,3.02,21.59,77.49
63.11,91.59,3.1,20.3,77.52
63.21,91.54,3.04,20.69,78.04
63.34,91.5,3.06,21.59,78.18
63.36,91.45,2.98,18.71,78.83
63.4,91.41,3.0,20.18,78.84
63.41,91.36,2.99,18.35,79.1
63.47,91.32,3.05,20.03,78.31
63.5,91.27,3.0,19.24,79.11
63.55,91.23,2.99,19.31,78.86
63.57,91.18,3.07,19.35,79.01
63.59,91.14,3.01,19.55,80.54
63.61,91.09,2.96,19.17,79.94
63.69,91.05,3.06,19.77,79.33
63.7,91.0,3.02,18.92,79.67
63.75,90.96,2.96,19.32,79.37
63.7,90.91,3.12,18.26,79.88
63.73,90.87,2.97,18.29,79.66
63.68,90.82,2.9,17.67,79.5
63.74,90.78,2.96,19.1,79.61
63.72,90.73,3.06,17.99,79.48
63.77,90.68,3.05,19.54,80.19
63.75,90.64,3.02,18.36,79.82
63.76,90.59,3.02,18.8,80.46
63.76,90.55,3.08,18.85,79.37
63.78,90.5,3.07,18.22,78.91
63.79,90.46,2.97,18.44,79.37
63.8,90.41,3.07,18.24,80.03
63.79,90.37,2.96,17.99,79.32
63.8,90.32,3.01,18.95,80.12
63.85,90.28,3.04,19.33,80.4
63.85,90.23,2.99,18.02,79.84
63.81,90.18,2.91,18.16,78.97
63.82,90.14,2.99,18.86,79.49
63.81,90.09,3.05,18.64,79.34
63.84,90.05,2.96,18.72,79.46
63.89,90.0,3.04,19.08,79.35
63.88,89.96,3.0,17.8,79.82
63.89,89.91,3.03,18.32,79.42
63.91,89.87,3.03,18.33,78.75
63.91,89.82,3.0,19.42,80.05
63.95,89.78,3.04,19.17,79.79
63.92,89.73,2.99,17.84,79.83
63.97,89.68,2.97,18.64,78.98
63.98,89.64,3.07,18.23,78.87
63.97,89.59,3.06,17.8,79.03
63.92,89.55,2.95,17.37,78.94
63.92,89.5,3.01,17.82,78.22
63.92,89.46,2.95,17.38,79.96
63.95,89.41,2.95,18.83,78.87
63.99,89.37,2.95,19.27,79.08
64.04,89.32,3.03,18.96,80.3
64.01,89.28,3.05,17.56,79.94
64.04,89.23,3.02,18.53,79.03
63.96,89.19,2.94,16.49,79.83
63.95,89.14,2.91,17.71,78.98
63.98,89.09,2.93,18.26,79.25
63.99,89.05,2.97,17.88,79.2
63.99,89.0,3.0,18.63,78.09
63.94,88.96,3.02,17.33,78.41
63.93,88.91,2.97,17.22,78.87
63.92,88.87,3.05,18.04,78.87
63.9,88.82,2.96,17.7,78.56
63.87,88.78,3.01,16.86,78.41
63.9,88.73,2.95,18.57,77.77
63.89,88.69,2.93,18.48,78.46
63.89,88.64,2.93,18.49,78.22
63.88,88.6,2.97,18.17,79.07
63.86,88.55,2.92,18.41,77.63
63.9,88.51,2.97,18.53,78.12
63.92,88.46,2.92,18.26,77.87
63.88,88.42,3.09,17.68,78.52
63.88,88.37,2.95,18.4,78.18
63.9,88.33,2.94,18.16,77.69
63.91,88.28,2.97,18.82,79.32
63.92,88.24,2.92,18.45,78.92
63.9,88.19,3.06,17.6,77.98
63.93,88.15,2.97,19.2,77.35
63.95,88.1,2.96,18.9,77.99
63.93,88.06,2.94,17.83,78.31
63.93,88.01,2.96,18.8,77.48
63.94,87.97,2.96,18.02,78.1
63.95,87.92,3.0,18.15,77.45
63.96,87.88,2.98,17.67,77.81
63.95,87.83,2.97,18.79,77.52
63.98,87.79,2.98,18.33,78.43
63.98,87.74,2.96,18.43,77.74
64.01,87.7,2.93,18.56,78.09
63.99,87.65,2.93,17.83,78.11
63.99,87.61,2.89,18.17,78.12
63.98,87.56,2.96,17.65,77.8
64.0,87.52,2.95,18.31,77.62
64.0,87.47,2.94,18.57,78.36
64.04,87.43,2.96,18.02,77.45
64.02,87.38,2.96,17.49,78.0
64.05,87.34,2.85,18.85,77.76
64.03,87.29,2.83,17.78,78.31
64.03,87.24,2.9,17.65,78.05
64.0,87.2,2.84,17.63,77.29
63.99,87.15,3.01,18.37,77.98
63.99,87.11,2.95,17.99,77.86
64.03,87.07,2.89,18.23,76.81
64.01,87.02,2.98,17.72,77.58
63.99,86.98,2.95,18.67,77.7
64.04,86.93,2.97,18.53,76.45
64.02,86.89,2.97,17.28,77.66
63.97,86.84,2.82,17.47,77.18
63.98,86.8,2.93,18.18,77.41
63.98,86.75,2.96,17.97,76.41
63.98,86.71,2.95,17.83,77.22
64.03,86.66,2.91,18.49,76.55
64.02,86.62,2.94,18.09,76.61
63.95,86.57,2.97,17.0,76.71
64.0,86.53,2.98,18.66,76.13
64.04,86.48,2.9,18.45,76.81
64.03,86.44,2.93,17.92,76.58
64.04,86.39,2.96,18.08,77.32
64.01,86.35,2.89,18.2,78.08
64.07,86.3,2.94,18.7,76.4
64.14,86.26,3.01,18.85,76.2
64.08,86.21,2.93,17.08,77.38
64.09,86.17,2.93,17.62,75.53
64.16,86.12,2.93,18.47,77.03
64.14,86.08,2.81,17.47,76.86
64.14,86.03,2.86,17.48,75.78
64.11,85.99,2.92,17.14,76.44
64.13,85.94,3.06,18.22,76.33
64.12,85.9,2.91,17.79,76.59
64.09,85.85,2.81,17.2,76.71
64.08,85.81,2.88,17.71,76.98
64.08,85.77,2.91,17.07,75.41
64.11,85.72,2.89,18.16,77.04
64.09,85.68,2.93,17.76,76.05
64.06,85.63,2.9,17.31,75.16
64.11,85.59,2.9,18.57,75.86
64.15,85.54,2.82,18.28,76.83
64.15,85.5,2.94,17.65,76.75
64.11,85.45,2.88,17.57,75.96
64.13,85.41,2.94,19.0,75.89
64.14,85.36,2.95,18.05,76.78
64.16,85.32,2.85,18.49,75.8
64.15,85.27,2.93,17.39,76.9
64.07,85.23,2.96,16.64,75.76
64.09,85.18,2.98,18.58,76.14
64.07,85.14,2.88,17.61,75.16
64.05,85.1,2.96,17.82,75.58
64.08,85.05,2.84,17.78,75.18
64.09,85.01,2.88,16.95,76.25
64.09,84.96,2.88,17.72,75.03
64.07,84.92,2.88,17.67,75.79
64.04,84.87,2.91,16.88,75.28
64.02,84.83,2.82,17.99,75.75
64.06,84.78,2.84,18.19,74.17
64.1,84.74,2.96,18.61,75.41
64.06,84.7,2.85,17.18,74.95
64.09,84.65,2.8,17.86,75.44
64.09,84.61,3.01,17.65,74.71
64.14,84.56,2.95,17.88,75.68
64.13,84.52,2.86,17.36,74.75
64.11,84.47,2.98,16.84,75.44
64.09,84.43,2.93,17.5,75.32
64.1,84.38,2.91,17.67,74.48
64.08,84.34,2.84,17.83,75.58
64.11,84.3,2.76,18.09,74.57
64.19,84.25,2.87,19.04,74.88
64.21,84.21,2.87,17.63,76.05
64.24,84.16,2.89,17.29,75.85
64.29,84.12,2.94,18.25,75.31
64.29,84.07,2.85,16.93,75.19
64.24,84.03,2.92,16.7,75.17
64.24,83.98,2.85,17.54,75.64
64.25,83.94,2.9,17.62,75.85
64.21,83.89,2.88,16.86,75.36
64.17,83.85,2.85,16.56,74.21
64.17,83.81,2.91,17.55,74.76
64.19,83.76,2.88,17.26,74.69
64.18,83.72,2.84,17.34,74.88
64.18,83.67,2.84,16.96,74.37
64.17,83.63,2.9,17.39,75.05
64.14,83.58,2.87,16.73,74.55
64.09,83.54,2.89,16.76,75.06
64.14,83.5,2.81,17.73,74.73
64.11,83.45,2.91,17.24,74.49
64.14,83.41,2.94,18.08,74.52
64.11,83.36,2.91,16.99,74.35
64.09,83.32,2.82,16.75,74.13
64.11,83.27,2.81,17.41,74.03
64.1,83.23,2.83,17.23,74.63
64.15,83.19,2.83,18.07,73.72
64.15,83.14,2.9,17.47,74.6
64.18,83.1,2.8,17.53,75.06
64.2,83.05,2.86,17.73,73.74
64.18,83.01,2.85,16.88,74.72
64.18,82.96,2.85,17.25,74.13
64.1,82.92,2.85,16.05,74.04
64.11,82.88,2.84,17.01,72.95
64.11,82.83,2.96,17.46,73.93
64.14,82.79,2.94,17.53,73.82
64.16,82.74,2.9,17.21,73.49
64.23,82.7,2.82,18.05,73.07
64.21,82.66,2.78,17.42,73.89
64.14,82.61,2.8,16.5,73.92
64.17,82.57,2.73,17.46,72.24
64.19,82.52,2.85,17.44,73.65
64.26,82.48,2.81,18.44,73.77
64.24,82.44,2.86,17.29,74.65
64.22,82.39,2.86,17.76,73.42
64.26,82.35,2.88,17.84,72.97
64.2,82.3,2.84,16.09,73.29
64.23,82.26,2.84,17.02,73.1
64.22,82.22,2.85,16.97,73.53
64.21,82.17,2.81,17.22,73.18
64.23,82.13,2.91,17.54,72.91
64.21,82.08,2.92,17.47,73.26
64.2,82.04,2.83,16.77,73.76
64.22,82.0,2.87,17.26,72.34
64.2,81.95,2.87,16.81,73.18
64.2,81.91,2.85,17.4,72.34
64.27,81.86,2.74,17.82,72.81
64.25,81.82,2.77,16.91,73.31
64.26,81.78,2.85,17.47,73.42
64.24,81.73,2.84,17.01,72.42
64.26,81.69,2.8,17.36,73.13
64.25,81.64,2.77,17.24,73.41
64.26,81.6,2.89,16.76,73.49
64.27,81.56,2.91,17.34,72.46
64.29,81.51,2.77,17.51,72.94
64.29,81.47,2.87,16.78,72.56
64.28,81.42,2.8,17.07,72.6
64.25,81.38,2.75,16.76,73.15
64.23,81.34,2.83,16.59,72.0
64.26,81.29,2.8,17.35,72.99
64.3,81.25,2.76,17.42,71.99
64.26,81.21,2.83,16.73,72.6
64.23,81.16,2.92,17.34,72.57
64.23,81.12,2.87,17.58,73.85
64.28,81.07,2.8,17.71,72.32
64.29,81.03,2.75,16.98,70.9
64.27,80.99,2.84,16.86,72.12
64.3,80.94,2.8,17.19,72.88
64.3,80.9,2.86,16.87,73.07
64.28,80.85,2.87,16.61,72.78
64.29,80.81,2.69,16.86,71.61
64.26,80.77,2.78,16.76,71.92
64.28,80.72,2.87,17.83,72.67
64.28,80.68,2.84,16.63,71.71
64.31,80.64,2.73,16.92,71.71
64.33,80.59,2.83,16.78,72.45
64.35,80.55,2.82,17.25,72.09
64.32,80.5,2.85,16.17,72.8
64.28,80.46,2.82,17.04,71.8
64.32,80.42,2.8,17.71,72.55
64.33,80.37,2.84,17.59,72.63
64.28,80.33,2.75,16.75,72.43
64.32,80.29,2.81,17.68,72.42
64.28,80.24,2.78,15.85,72.01
64.26,80.2,2.83,16.81,72.57
64.29,80.15,2.87,17.59,71.24
64.33,80.11,2.82,18.03,71.84
64.31,80.07,2.79,17.14,72.61
64.3,80.02,2.84,16.52,71.29
64.31,79.98,2.9,16.78,72.1
64.29,79.94,2.74,17.11,71.39
64.35,79.89,2.75,17.75,70.85
64.32,79.85,2.84,16.6,71.73
64.35,79.81,2.79,17.95,71.31
64.39,79.76,2.85,17.22,71.64
64.38,79.72,2.77,16.25,72.08
64.36,79.67,2.71,16.7,71.5
64.36,79.63,2.76,16.25,71.67
64.32,79.59,2.71,16.6,72.44
64.27,79.54,2.78,16.64,71.04
64.3,79.5,2.81,17.66,70.5
64.31,79.46,2.75,17.04,71.34
64.37,79.41,2.84,17.81,71.86
92.99,43.67,0.61,16.11,71.87
91.93,43.61,2.01,0.28,100.0
90.88,43.55,2.07,0.52,100.0
89.82,43.48,2.07,0.0,100.0
88.8,43.42,2.02,0.56,99.83
87.76,43.36,2.05,0.0,99.91
86.72,43.3,1.99,0.0,100.0
85.69,43.24,2.1,0.87,100.0
84.68,43.19,2.05,0.0,100.0
83.65,43.13,2.02,0.0,99.65
82.66,43.07,2.14,0.0,99.64
81.67,43.01,2.08,0.0,100.0
80.69,42.95,2.0,0.04,100.0
79.71,42.9,2.06,0.43,100.0
78.78,42.84,2.18,0.34,99.9
77.82,42.79,2.09,0.0,99.31
76.84,42.73,2.09,0.0,100.0
75.92,42.67,2.02,0.0,100.0
74.97,42.62,2.05,0.0,100.0
74.04,42.56,2.02,0.01,99.04
73.09,42.51,2.09,0.0,100.0
72.19,42.46,2.07,0.0,99.86
71.28,42.4,2.02,0.29,100.0
70.65,42.36,2.11,0.0,63.48
69.99,42.32,2.07,0.0,60.68
69.36,42.27,2.06,0.31,58.55
68.89,42.23,2.0,3.91,54.98
68.54,42.19,2.03,6.76,55.66
68.32,42.15,2.07,9.2,53.0
68.18,42.11,2.0,11.12,51.25
68.04,42.07,2.03,11.18,50.77
67.91,42.03,2.04,12.28,51.07
67.82,41.99,2.02,12.16,49.46
67.79,41.95,2.01,14.29,49.89
67.73,41.91,1.94,13.79,50.54
67.72,41.87,2.06,14.59,49.41
67.65,41.83,2.08,12.38,49.15
67.6,41.79,2.05,13.62,48.87
67.57,41.75,2.07,13.94,48.41
67.61,41.72,1.96,15.0,48.34
67.66,41.68,1.98,14.21,48.53
67.68,41.64,2.12,14.78,49.23
67.67,41.6,2.09,14.09,48.98
67.66,41.56,2.02,14.5,48.4
67.66,41.52,2.01,13.64,48.59
67.67,41.48,1.92,14.01,48.62
67.67,41.44,2.0,13.68,48.69
67.61,41.4,1.97,13.03,48.86
67.59,41.36,1.92,14.03,48.18
67.63,41.32,1.97,14.89,48.8
67.64,41.28,2.06,14.11,48.28
67.63,41.24,2.1,13.79,48.33
67.65,41.21,2.09,14.54,48.62
67.69,41.17,2.06,14.31,47.81
67.67,41.13,2.05,13.67,48.11
67.7,41.09,2.08,14.07,48.41
67.67,41.05,2.04,13.89,48.81
67.68,41.01,1.99,14.91,48.05
67.64,40.97,1.95,13.38,47.78
67.62,40.93,2.09,14.15,48.44
67.62,40.89,2.06,14.52,48.39
67.61,40.85,2.04,13.72,48.28
67.61,40.81,1.97,13.76,47.3
67.65,40.78,1.95,14.57,47.03
67.65,40.74,2.04,14.37,48.15
67.63,40.7,1.92,14.26,47.51
67.65,40.66,2.0,14.38,46.91
67.66,40.62,2.05,14.43,47.58
67.67,40.58,1.93,14.21,47.88
67.66,40.54,2.0,14.35,48.05
67.66,40.5,2.08,14.02,47.59
67.7,40.46,2.08,14.55,46.98
67.73,40.42,2.06,14.0,48.28
67.72,40.39,2.01,13.73,48.35
67.67,40.35,2.08,13.53,48.51
67.69,40.31,1.9,14.22,46.82
67.68,40.27,2.01,14.18,47.99
67.69,40.23,2.08,14.9,47.22
67.74,40.19,2.07,14.82,47.49
67.73,40.15,2.09,13.17,47.41
67.77,40.11,1.98,13.89,47.13
67.76,40.07,2.04,13.24,47.84
67.74,40.03,2.03,13.64,47.85
67.68,40.0,1.94,12.28,47.35
67.72,39.96,2.08,14.14,47.1
67.69,39.92,1.98,13.47,47.25
67.67,39.88,2.03,13.95,46.81
67.7,39.84,1.97,14.31,46.66
67.69,39.8,2.02,13.92,47.56
67.67,39.76,1.96,13.58,46.99
67.66,39.72,1.98,13.88,46.19
67.66,39.69,2.02,13.89,46.77
67.66,39.65,1.94,14.48,46.51
67.64,39.61,1.93,13.81,46.62
